street,street_num,letter,X,Y
STRADA PANORAMICA ARDIZIO,59,"3",1440815.889999999897555,5448531.230000000447035
STRADA PANORAMICA ARDIZIO,124,,1441388.639999999897555,5448036.080000000074506
STRADA PANORAMICA ARDIZIO,64,,1440433.050000000046566,5448240.570000000298023
STRADA PANORAMICA ARDIZIO,116,,1441453.790000000037253,5448221.259999999776483
STRADA PANORAMICA ARDIZIO,136,"1",1441989.310000000055879,5447637.679999999701977
STRADA PANORAMICA ARDIZIO,103,,1441513.149999999906868,5448212.950000000186265
STRADA PANORAMICA ARDIZIO,48,"2",1440121.870000000111759,5448045.530000000260770
STRADA PANORAMICA ARDIZIO,2,,1439689.859999999869615,5447973.150000000372529
STRADA PANORAMICA ARDIZIO,48,"3",1440125.010000000009313,5448038.139999999664724
STRADA PANORAMICA ARDIZIO,164,,1442485.709999999962747,5447266.780000000260770
STRADA PANORAMICA ARDIZIO,59,"2",1440799.580000000074506,5448522.959999999962747
STRADA PANORAMICA ARDIZIO,232,,1442773.500000000000000,5446857.580000000074506
STRADA PANORAMICA ARDIZIO,4,,1439700.789999999804422,5447972.179999999701977
STRADA PANORAMICA ARDIZIO,144,,1441825.379999999888241,5447343.940000000409782
STRADA PANORAMICA ARDIZIO,200,,1442430.760000000009313,5446445.339999999850988
STRADA PANORAMICA ARDIZIO,20,"1",1439850.810000000055879,5447916.820000000298023
STRADA PANORAMICA ARDIZIO,62,,1440405.739999999990687,5448238.000000000000000
STRADA PANORAMICA ARDIZIO,36,,1439976.919999999925494,5447988.919999999925494
STRADA PANORAMICA ARDIZIO,26,,1439872.810000000055879,5447992.919999999925494
STRADA PANORAMICA ARDIZIO,48,,1440115.210000000195578,5448062.700000000186265
STRADA PANORAMICA ARDIZIO,119,,1442052.800000000046566,5447764.910000000149012
STRADA PANORAMICA ARDIZIO,77,"5",1440847.489999999757856,5448696.549999999813735
STRADA PANORAMICA ARDIZIO,77,"3",1440823.199999999953434,5448669.559999999590218
STRADA PANORAMICA ARDIZIO,48,"7",1440108.290000000037253,5448038.669999999925494
STRADA PANORAMICA ARDIZIO,195,,1442843.300000000046566,5446981.719999999739230
STRADA PANORAMICA ARDIZIO,107,,1441517.149999999906868,5448187.780000000260770
STRADA PANORAMICA ARDIZIO,192,"1",1441798.500000000000000,5446815.200000000186265
STRADA PANORAMICA ARDIZIO,214,,1442027.919999999925494,5445941.629999999888241
