district,st_area_sh,st_length
0,1228843.18993000011,29121.00967280000
1,1281070.52245999989,4954.44278182000
2,679955.69126800005,9295.88007144000
3,993119.55501200003,7284.01197928000
4,1178542.67258000001,4415.82720145000
5,572766.82989699999,3636.86348249000
6,1302164.65666999994,6073.36117412000
8,2070274.69020000007,6671.46043945000
9,1011398.14165999996,5110.78896257000
11,1814488.83976999996,13639.27150210000
30,812641.06360800005,6145.23028331000
12,12323488.83540000021,22573.51893510000
13,9318726.99316000007,15908.98916960000
14,3426580.30060000019,9252.07308459000
15,8400163.16300000064,15615.79774760000
16,5889683.80963000096,12709.96085590000
17,7615711.57864999957,13363.74012430000
18,3665873.72293000016,8702.79894961000
19,10890431.40389999934,17836.42069210000
20,10524607.04920000024,18309.83894950000
21,8057951.88365999982,15972.09233340000
22,6318153.70388999954,17593.62389170000
23,2530198.67748000007,6741.47104895000
24,1011987.80140000000,5413.16162653000
25,2227065.03715999983,8877.83153847000
26,5587036.07624000032,14005.25885550000
27,2757431.22346000001,9522.39751211000
28,679433.69483199995,4224.09527961000
29,561930.48697500001,3336.77985376000
31,5727018.42317999993,13462.66429580000
0,1281108.95641000010,5019.25156346000
7,584128.15982199996,3193.32882768000
10,5522038.42066000029,14635.10951500000
