cod_adm,type_abb,name,denom_abb,denom_ext,denom_emp,name_abb,global_id,year_ctr,annofine,st_length
690,VIA,VIA,T. BRUSCOLINI,TERENZIO BRUSCOLINI,BRUSCOLINI,VIA T. BRUSCOLINI,{4208A472-9BD8-45D5-AF8A-1958FE11E706},,,221.34765457600
695,VLE,VIALE,BRUXELLES,BRUXELLES,BRUXELLES,VLE BRUXELLES,{A231B9D6-2797-47A0-92E4-639BCE6B7153},,,110.36948816700
700,VIA,VIA,BUCCARI,BUCCARI,BUCCARI,VIA BUCCARI,{66E8FEE0-C819-4933-9B1D-3A6401CAAA7B},,,218.11934756600
705,VLE,VIALE,MICHELANGELO,MICHELANGELO BUONARROTI,BUONARROTI MICHELANGELO,VLE MICHELANGELO,{74FBC9F3-11EC-42CE-BE08-13B350CFBB63},,,249.94081080600
710,VLE,VIALE,B. BUOZZI,BRUNO BUOZZI,BUOZZI,VLE B. BUOZZI,{C5237455-E9C5-4842-9897-CEF49CCD1184},,,322.95104569700
720,STR,STRADA,DEL BUZZO,DEL BUZZO,BUZZO,STR DEL BUZZO,{95374C0C-BF9F-4D86-8A93-BB8E2BF9AD51},,,605.85588991700
725,LUNGOFOGLIA,LUNGOFOGLIA,G.CABOTO,GIOVANNI CABOTO,CABOTO,LUNGOFOGLIA G.CABOTO,{C7DECAA3-AE7D-4703-8883-A242C11CA09A},,,523.62238152900
730,STR,STRADA,DI CACCIAFAME,DI CACCIAFAME,CACCIAFAME,STR DI CACCIAFAME,{993752DF-4545-423B-84C0-CB951DB2CB3F},,,500.16313064500
740,VIA,VIA,DEL CADORE,DEL CADORE,CADORE,VIA DEL CADORE,{F806EF32-5B1F-4932-ADA3-6874C5D81B7D},,,71.93712780010
745,PLE,PIAZZALE,CADORNA,CADORNA,CADORNA,PLE CADORNA,{05C3A518-F625-42B2-B55C-5A2E8E5A6C56},,,43.94062157190
750,PLE,PIAZZALE,CADUTI LAVORO,CADUTI DEL LAVORO,CADUTI DEL LAVORO,PLE CADUTI LAVORO,{6D27680E-1BEB-46C8-8EBD-98B13A89CABC},,,62.49310911710
755,VIA,VIA,CAGLI,CAGLI,CAGLI,VIA CAGLI,{7B8A8CD6-0D02-48DD-A796-867D0C3872BF},,,164.36633083100
760,CALATA,CALATA,CAIO DUILIO,CAIO DUILIO,CAIO DUILIO,CALATA CAIO DUILIO,{86712AEF-8B11-4036-82D1-3221951A8CF2},,,1008.33028469000
765,VIA,VIA,B. CAIROLI,BENEDETTO CAIROLI,CAIROLI,VIA B. CAIROLI,{65A110F0-20B6-4B64-A478-B83430C2C586},,,171.36853001900
770,VIA,VIA,CALATAFIMI,CALATAFIMI,CALATAFIMI,VIA CALATAFIMI,{0C7A88CC-9409-4D11-8E87-C56BA210B99E},,,79.99092716780
773,VIA,VIA,F. CALLEGARI,FILIPPO CALLEGARI,CALLEGARI,VIA F. CALLEGARI,{44A2A172-6917-4D46-95B1-989F9E7F5CFF},,,156.46255729400
