objectid,gistat_sez,perimeter,cod_istat,pro_com,sez2001,sez,cod_tipo,cod_stagno,cod_fiume,cod_lago,cod_laguna,cod_val_p,cod_zona_c,cod_is_amm,cod_is_lac,cod_is_mar,cod_area_s,cod_mont_d,loc,loc2001,tipo_loc,sez2011,tipo_loc_n,loc2011,cod_tipo_s,cod_asc,shape_leng,st_area_sh,st_length_
13006,0.00000000,13356.88909150,11041044,41044,410440001011.00006104,1205,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001205.00000000,4,4104440001.00000000,0,"6",1723.57358053,82596.94258390000,1722.23593506000
13007,0.00000000,13356.88909150,11041044,41044,410440001011.00006104,1204,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001204.00006104,4,4104440001.00000000,0,"6",1059.01788887,65376.55134890000,1058.19395567000
13010,0.00000000,18086.43148590,11041044,41044,410440001004.99993896,1211,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001211.00000000,4,4104440001.00000000,0,"10",1724.77398686,123857.19288500000,1723.41050865000
13013,0.00000000,595.38945709,11041044,41044,410440000985.00000000,1143,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001143.00000000,4,4104440001.00000000,0,"3",1706.81485562,147718.13839499999,1705.36132870000
13014,0.00000000,595.38945709,11041044,41044,410440000985.00000000,1210,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001210.00000000,4,4104440001.00000000,0,"9",1377.66189100,85491.79043759999,1376.48477093000
13015,0.00000000,12328.26770810,11041044,41044,410440001010.00006104,1209,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001209.00000000,4,4104440001.00000000,0,"3",1837.83660579,76779.20780710000,1836.28129176000
13016,0.00000000,11811.90180800,11041044,41044,410440001008.00006104,1208,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001208.00000000,4,4104440001.00000000,0,"3",997.90086101,22108.21316870000,997.05823631900
13018,0.00000000,1077.28555162,11041044,41044,410440000910.99993896,1207,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104410008.00000000,1,410440001207.00000000,4,4104440001.00000000,0,"9",810.34526054,40843.49633510000,809.63485427200
13019,0.00000000,10920.17476580,11041044,41044,410440000995.00000000,1164,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001163.99993896,4,4104440001.00000000,0,"4",773.21130253,19118.55668460000,772.62145120900
13020,0.00000000,10920.17476580,11041044,41044,410440000995.00000000,1206,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104440001.00000000,4,410440001206.00000000,4,4104440001.00000000,0,"4",797.37558305,18067.43667820000,796.76850861400
